rcrd_date,car_no,rcrd_time,lo_lgt,lo_ltt,lo_drc,r_num
2020-12-07,闽F02199D,2020-12-07 07:37:30:180,117.02287,25.066453,185.029999,1
2020-12-07,闽F02199D,2020-12-07 07:37:32:061,117.022892,25.066273000000002,182.050003,1
2020-12-07,闽F02199D,2020-12-07 07:37:34:140,117.02288200000001,25.066173000000003,188.429993,1
2020-12-07,闽F02199D,2020-12-07 07:38:00:110,117.02286299999999,25.06609,179.149994,1
2020-12-07,闽F02199D,2020-12-07 07:38:02:199,117.02286299999999,25.06609,185.149994,1
2020-12-07,闽F02199D,2020-12-07 07:38:04:061,117.022893,25.065852,180.380005,1
2020-12-07,闽F02199D,2020-12-07 07:38:06:135,117.02288,25.065713,190.630005,1
2020-12-07,闽F02199D,2020-12-07 07:38:07:184,117.02286699999999,25.065628,185.28999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:38:09:061,117.022857,25.065458,183.979996,1
2020-12-07,闽F02199D,2020-12-07 07:38:11:010,117.022842,25.065282,183.139999,1
2020-12-07,闽F02199D,2020-12-07 07:38:13:109,117.022833,25.065103,181.679993,1
2020-12-07,闽F02199D,2020-12-07 07:38:14:178,117.022825,25.064922,181.389999,1
2020-12-07,闽F02199D,2020-12-07 07:38:16:064,117.02282199999999,25.06483,183.240005,1
2020-12-07,闽F02199D,2020-12-07 07:38:18:150,117.022815,25.06465,181.199997,1
2020-12-07,闽F02199D,2020-12-07 07:38:19:197,117.02281200000002,25.06456,182.369995,1
2020-12-07,闽F02199D,2020-12-07 07:38:20:028,117.022805,25.064462,182.66000400000001,1
2020-12-07,闽F02199D,2020-12-07 07:38:21:065,117.02281200000002,25.064367,188.820007,1
2020-12-07,闽F02199D,2020-12-07 07:38:22:097,117.022803,25.064275,185.28999299999998,1
2020-12-07,闽F02199D,2020-12-07 07:38:23:141,117.0228,25.064183,183.309998,1
2020-12-07,闽F02199D,2020-12-07 07:38:24:191,117.022795,25.064087,183.509995,1
2020-12-07,闽F02199D,2020-12-07 07:38:25:038,117.02278999999999,25.06399,183.669998,1
2020-12-07,闽F02199D,2020-12-07 07:38:26:073,117.02278700000001,25.063893,181.770004,1
